Date,Open,High,Low,Close,
16-Apr-18,10398.3,10540.15,10396.35,10528.35,1.38317775
17-Apr-18,10557.3,10560.45,10495.65,10548.7,0.617398637
18-Apr-18,10578.9,10594.2,10509.7,10526.2,0.804019144
19-Apr-18,10563.65,10572.2,10546.2,10565.3,0.246534297
20-Apr-18,10560.35,10582.35,10527.45,10564.05,0.521493809
23-Apr-18,10592.8,10638.35,10514.95,10584.7,1.173567159
24-Apr-18,10578.1,10636.8,10569,10614.35,0.641498723
25-Apr-18,10612.4,10612.6,10536.45,10570.55,0.722729192
26-Apr-18,10586.5,10628.4,10559.65,10617.8,0.651063245
27-Apr-18,10651.65,10719.8,10647.55,10692.3,0.678559856
30-Apr-18,10705.75,10759,10704.6,10739.35,0.50819274
02-May-18,10783.85,10784.65,10689.8,10718.05,0.88729443
03-May-18,10720.15,10720.6,10647.45,10679.65,0.687018958
04-May-18,10700.45,10700.45,10601.6,10618.25,0.932406429
07-May-18,10653.15,10725.65,10635.65,10715.5,0.846210622
08-May-18,10757.9,10758.55,10689.4,10717.8,0.646902539
09-May-18,10693.35,10766.25,10689.85,10741.7,0.714696651
10-May-18,10779.65,10785.55,10705,10716.55,0.752452125
11-May-18,10741.95,10812.05,10724.45,10806.5,0.816825105
14-May-18,10815.15,10834.85,10774.75,10806.6,0.557785563
15-May-18,10812.6,10929.2,10781.4,10801.85,1.370879478
16-May-18,10751.95,10790.45,10699.7,10741.1,0.848154621
17-May-18,10775.6,10777.25,10664.5,10682.7,1.057246003
18-May-18,10671.85,10674.95,10589.1,10596.4,0.810739345
21-May-18,10616.7,10621.7,10505.8,10516.7,1.103200137
22-May-18,10518.45,10558.6,10490.55,10536.7,0.648679049
23-May-18,10521.1,10533.55,10417.8,10430.35,1.111079115
24-May-18,10464.85,10535.15,10419.8,10513.85,1.107027006
25-May-18,10533.05,10628.05,10524,10605.15,0.988692512
28-May-18,10648.35,10709.8,10640.55,10688.65,0.650812223
29-May-18,10689.4,10717.25,10616.1,10633.3,0.952798109
30-May-18,10579,10648.7,10558.45,10614.35,0.854765614
31-May-18,10670.1,10763.8,10620.4,10736.15,1.35023163
01-Jun-18,10738.45,10764.75,10681.5,10696.2,0.779384918
04-Jun-18,10765.95,10770.3,10618.35,10628.5,1.431013293
05-Jun-18,10630.7,10633.15,10550.9,10593.15,0.779554351
06-Jun-18,10603.45,10698.35,10587.5,10684.65,1.046989374
07-Jun-18,10722.6,10818,10722.6,10768.35,0.889709585
08-Jun-18,10736.4,10779.45,10709.05,10767.65,0.65738791
11-Jun-18,10781.85,10850.55,10777.05,10786.95,0.682004816
12-Jun-18,10816.15,10856.55,10789.4,10842.85,0.622370104
13-Jun-18,10887.5,10893.25,10842.65,10856.7,0.466675582
14-Jun-18,10832.9,10833.7,10773.55,10808.05,0.558311791
15-Jun-18,10808.65,10834,10755.4,10817.7,0.730795693
18-Jun-18,10830.2,10830.2,10787.35,10799.85,0.397224527
19-Jun-18,10789.45,10789.45,10701.2,10710.45,0.824673868
20-Jun-18,10734.65,10781.8,10724.05,10772.05,0.538509239
21-Jun-18,10808.45,10809.6,10725.9,10741.1,0.780354096
22-Jun-18,10742.7,10837,10710.45,10821.85,1.18155633
25-Jun-18,10822.9,10831.05,10753.05,10762.45,0.725375591
26-Jun-18,10742.7,10805.25,10732.55,10769.15,0.677378629
27-Jun-18,10785.5,10785.5,10652.4,10671.4,1.249483684
28-Jun-18,10660.8,10674.2,10557.7,10589.1,1.103460034
29-Jun-18,10612.85,10723.05,10612.35,10714.3,1.043124284
02-Jul-18,10732.35,10736.15,10604.65,10657.3,1.240022066
03-Jul-18,10668.6,10713.3,10630.25,10699.9,0.781261024
04-Jul-18,10715,10777.15,10677.75,10769.9,0.930907729
05-Jul-18,10786.05,10786.05,10726.25,10749.75,0.55751078
06-Jul-18,10744.15,10816.35,10735.05,10772.65,0.75733229
09-Jul-18,10838.3,10860.35,10807.15,10852.9,0.492266694
10-Jul-18,10902.75,10956.9,10876.65,10947.25,0.73781909
11-Jul-18,10956.4,10976.65,10923,10948.3,0.491165431
12-Jul-18,11006.95,11078.3,10999.65,11023.2,0.715022751
13-Jul-18,11056.9,11071.35,10999.75,11018.9,0.650923885
16-Jul-18,11018.95,11019.5,10926.25,10936.85,0.853449262
17-Jul-18,10939.65,11018.5,10925.6,11008.05,0.850296551
18-Jul-18,11060.2,11076.2,10956.3,10980.45,1.094347544
19-Jul-18,10999.5,11006.5,10935.45,10957.1,0.649721776
20-Jul-18,10963.5,11030.25,10946.2,11010.2,0.767846376
23-Jul-18,11019.85,11093.4,11010.95,11084.75,0.748800058
24-Jul-18,11109,11143.4,11092.5,11134.3,0.458868605
25-Jul-18,11148.4,11157.15,11113.25,11132,0.395023958
26-Jul-18,11132.95,11185.85,11125.7,11167.3,0.540640139
27-Jul-18,11232.75,11283.4,11210.25,11278.35,0.652527821
30-Jul-18,11296.65,11328.1,11261.45,11319.55,0.591842081
31-Jul-18,11311.05,11366,11267.75,11356.5,0.871957578
01-Aug-18,11359.8,11390.55,11313.55,11346.2,0.680599812
02-Aug-18,11328.9,11328.9,11234.95,11244.7,0.836229801
03-Aug-18,11297.8,11368,11294.55,11360.8,0.650313647
06-Aug-18,11401.5,11427.65,11370.6,11387.1,0.501732538
07-Aug-18,11423.15,11428.95,11359.7,11389.45,0.609611169
08-Aug-18,11412.5,11459.95,11379.3,11450,0.708743069
09-Aug-18,11493.25,11495.2,11454.1,11470.7,0.358823478
10-Aug-18,11474.95,11478.75,11419.65,11429.5,0.517528996
13-Aug-18,11369.6,11406.3,11340.3,11355.75,0.581995185
14-Aug-18,11381.7,11452.45,11370.8,11435.1,0.71806733
16-Aug-18,11397.15,11449.85,11366.25,11385.05,0.735510833
17-Aug-18,11437.15,11486.45,11431.8,11470.75,0.47805245
20-Aug-18,11502.1,11565.3,11499.65,11551.75,0.57088694
21-Aug-18,11576.2,11581.75,11539.6,11570.9,0.365263961
23-Aug-18,11620.7,11620.7,11546.7,11582.75,0.640875748
24-Aug-18,11566.6,11604.6,11532,11557.1,0.629552549
27-Aug-18,11605.85,11700.95,11595.6,11691.95,0.908534272
28-Aug-18,11731.95,11760.2,11710.5,11738.5,0.424405448
29-Aug-18,11744.95,11753.2,11678.85,11691.9,0.6366209
30-Aug-18,11694.75,11698.8,11639.7,11676.8,0.507745045
31-Aug-18,11675.85,11727.65,11640.1,11680.5,0.752141305
03-Sep-18,11751.8,11751.8,11567.4,11582.35,1.594135242
04-Sep-18,11598.75,11602.55,11496.85,11520.3,0.919382266
05-Sep-18,11514.85,11542.65,11393.85,11476.95,1.305967693
06-Sep-18,11514.15,11562.25,11436.05,11536.9,1.103527879
07-Sep-18,11558.25,11603,11484.4,11589.1,1.032705235
10-Sep-18,11570.25,11573,11427.3,11438.1,1.275016846
11-Sep-18,11476.85,11479.4,11274,11287.5,1.821891077
12-Sep-18,11340.1,11380.75,11250.2,11369.9,1.160423815
14-Sep-18,11443.5,11523.25,11430.55,11515.2,0.810984598
17-Sep-18,11464.95,11464.95,11366.9,11377.75,0.862592264
18-Sep-18,11381.55,11411.45,11268.95,11278.9,1.264536625
19-Sep-18,11326.65,11332.05,11210.9,11234.35,1.08064473
21-Sep-18,11271.3,11346.8,10866.45,11143.1,4.420486912
24-Sep-18,11164.4,11170.15,10943.6,10967.4,2.070159728
25-Sep-18,10969.95,11080.6,10882.85,11067.45,1.817079166
26-Sep-18,11145.55,11145.55,10993.05,11053.8,1.38724012
27-Sep-18,11079.8,11089.45,10953.35,10977.55,1.242542236
28-Sep-18,11008.1,11034.1,10850.3,10930.45,1.693962379
01-Oct-18,10930.9,11035.65,10821.55,11008.3,1.978459648
03-Oct-18,10982.7,10989.05,10843.75,10858.25,1.339942363
04-Oct-18,10754.7,10754.7,10547.25,10599.25,1.9668634
05-Oct-18,10514.1,10540.65,10261.9,10316.45,2.716358569
08-Oct-18,10310.15,10398.35,10198.4,10348.05,1.960601663
09-Oct-18,10390.3,10397.6,10279.35,10301.05,1.150364566
10-Oct-18,10331.85,10482.35,10318.25,10460.1,1.590385967
11-Oct-18,10169.8,10335.95,10138.6,10234.65,1.946521216
12-Oct-18,10331.55,10492.45,10322.15,10472.5,1.64985008
15-Oct-18,10524.2,10526.3,10410.15,10512.5,1.115738006
16-Oct-18,10550.15,10604.9,10525.3,10584.75,0.75627298
17-Oct-18,10688.7,10710.15,10436.45,10453.05,2.622539273
19-Oct-18,10339.7,10380.1,10249.6,10303.55,1.273220418
22-Oct-18,10405.85,10408.55,10224,10245.25,1.80506651
23-Oct-18,10152.6,10222.1,10102.35,10146.8,1.185367761
24-Oct-18,10278.15,10290.65,10126.7,10224.75,1.618987429
25-Oct-18,10135.05,10166.6,10079.3,10124.9,0.866131577
26-Oct-18,10122.35,10128.85,10004.55,10030,1.242434692
29-Oct-18,10078.1,10275.3,10020.35,10250.85,2.544322304
30-Oct-18,10239.4,10285.1,10175.35,10198.4,1.078586977
31-Oct-18,10209.55,10396,10105.1,10386.6,2.878744396
01-Nov-18,10441.7,10441.9,10341.9,10380.45,0.966940311
02-Nov-18,10462.3,10606.95,10457.7,10553,1.42717806
05-Nov-18,10558.75,10558.8,10477,10524,0.780757851
06-Nov-18,10552,10600.25,10491.45,10530,1.037034919
07-Nov-18,10614.45,10616.45,10582.3,10598.4,0.322708674
09-Nov-18,10614.7,10619.55,10544.85,10585.2,0.70840268
12-Nov-18,10607.8,10645.5,10464.05,10482.2,1.734032234
13-Nov-18,10451.9,10596.25,10440.55,10582.5,1.491300746
14-Nov-18,10634.9,10651.6,10532.7,10576.3,1.128865343
15-Nov-18,10580.6,10646.5,10557.5,10616.7,0.843002605
16-Nov-18,10644,10695.15,10631.15,10682.2,0.602004487
19-Nov-18,10731.25,10774.7,10688.8,10763.4,0.803644937
20-Nov-18,10740.1,10740.85,10640.85,10656.2,0.939774548
21-Nov-18,10670.95,10671.3,10562.35,10600.05,1.031493938
22-Nov-18,10612.65,10646.25,10512,10526.75,1.277111872
