NAV_Date,NAV_Value
15/11/2019,78.0994
18/11/2019,78.0263
19/11/2019,78.391
20/11/2019,78.7783
21/11/2019,78.5762
22/11/2019,78.2218
25/11/2019,79.2673
26/11/2019,79.0308
27/11/2019,79.4442
28/11/2019,79.7751
29/11/2019,79.1512
02/12/2019,79.0994
03/12/2019,78.7443
04/12/2019,79.0658
05/12/2019,78.9025
06/12/2019,78.2661
09/12/2019,78.3698
10/12/2019,77.8429
11/12/2019,78.1927
12/12/2019,78.597
13/12/2019,79.3468
16/12/2019,79.131
17/12/2019,79.8593
18/12/2019,80.2313
19/12/2019,80.4838
20/12/2019,80.5632
23/12/2019,80.5015
24/12/2019,80.1853
26/12/2019,79.6067
27/12/2019,80.3891
30/12/2019,80.4544
31/12/2019,79.8803
01/01/2020,79.9725
02/01/2020,80.6264
03/01/2020,80.2612
06/01/2020,78.7271
07/01/2020,79.1199
08/01/2020,78.9377
09/01/2020,80.1878
10/01/2020,80.4561
13/01/2020,80.9334
14/01/2020,81.1476
15/01/2020,81.0223
16/01/2020,81.1022
17/01/2020,81.0808
20/01/2020,80.2416
21/01/2020,79.8825
22/01/2020,79.4694
23/01/2020,79.9595
24/01/2020,80.4105
27/01/2020,79.5617
28/01/2020,79.1466
29/01/2020,79.6242
30/01/2020,79.0092
31/01/2020,78.525
03/02/2020,76.8562
04/02/2020,78.6392
05/02/2020,79.3571
06/02/2020,79.6769
07/02/2020,79.4141
10/02/2020,78.9741
11/02/2020,79.4755
12/02/2020,80.088
13/02/2020,79.9135
14/02/2020,79.5115
17/02/2020,79.0859
18/02/2020,78.7358
19/02/2020,79.6109
20/02/2020,79.3151
24/02/2020,77.6647
25/02/2020,77.4573
26/02/2020,76.6714
27/02/2020,76.3742
28/02/2020,73.534
02/03/2020,73.0953
03/03/2020,74.2551
04/03/2020,73.9117
05/03/2020,74.0401
06/03/2020,72.2063
09/03/2020,68.6795
11/03/2020,68.7243
12/03/2020,63.0226
13/03/2020,65.4144
16/03/2020,60.3649
17/03/2020,58.7968
18/03/2020,55.5133
19/03/2020,54.2023
20/03/2020,57.3614
23/03/2020,49.9657
24/03/2020,51.23
25/03/2020,54.5983
26/03/2020,56.7177
27/03/2020,56.8361
30/03/2020,54.3484
31/03/2020,56.4233
01/04/2020,54.1659
03/04/2020,53.0495
07/04/2020,57.6876
08/04/2020,57.4027
09/04/2020,59.7855
13/04/2020,59.0097
15/04/2020,58.56
16/04/2020,59.0022
17/04/2020,60.7994
20/04/2020,60.7668
21/04/2020,58.9274
22/04/2020,60.2778
23/04/2020,61.1094
24/04/2020,60.0627
27/04/2020,60.9018
28/04/2020,61.5485
29/04/2020,62.6865
30/04/2020,64.699
04/05/2020,60.9699
05/05/2020,60.3978
06/05/2020,60.8259
07/05/2020,60.3545
08/05/2020,60.6982
11/05/2020,60.6168
12/05/2020,60.3373
13/05/2020,61.5637
14/05/2020,59.9835
15/05/2020,59.9442
18/05/2020,57.8857
19/05/2020,58.2511
20/05/2020,59.481
21/05/2020,59.7412
22/05/2020,59.3009
26/05/2020,59.2329
27/05/2020,61.1079
28/05/2020,62.2571
29/05/2020,62.9038
01/06/2020,64.5172
02/06/2020,65.5215
03/06/2020,66.0727
04/06/2020,65.8595
05/06/2020,66.6006
08/06/2020,66.7659
09/06/2020,65.9725
10/06/2020,66.4284
11/06/2020,65.0258
12/06/2020,65.4904
15/06/2020,64.4453
16/06/2020,65.1026
17/06/2020,64.8867
18/06/2020,66.2681
19/06/2020,67.2861
22/06/2020,67.7239
23/06/2020,68.7721
24/06/2020,67.6853
25/06/2020,67.5759
26/06/2020,68.1935
29/06/2020,67.7293
30/06/2020,67.6611
01/07/2020,68.5005
02/07/2020,69.3307
03/07/2020,69.6956
06/07/2020,70.7247
07/07/2020,70.9605
08/07/2020,70.3443
09/07/2020,71.1088
10/07/2020,70.8092
13/07/2020,71.0401
14/07/2020,69.7608
15/07/2020,69.8316
16/07/2020,70.6405
17/07/2020,71.7006
20/07/2020,72.4899
21/07/2020,73.4086
22/07/2020,73.2137
23/07/2020,73.7665
24/07/2020,73.6264
27/07/2020,73.2167
28/07/2020,74.3231
29/07/2020,73.6843
30/07/2020,73.0395
31/07/2020,72.851
03/08/2020,71.6589
04/08/2020,72.9945
05/08/2020,73.0544
06/08/2020,73.7198
07/08/2020,73.8106
10/08/2020,74.1781
11/08/2020,74.5216
12/08/2020,74.4285
13/08/2020,74.4088
14/08/2020,73.6075
17/08/2020,74.0578
18/08/2020,74.9658
19/08/2020,75.1235
20/08/2020,74.4912
21/08/2020,74.8807
24/08/2020,75.5033
25/08/2020,75.541
26/08/2020,76.0665
27/08/2020,76.1297
28/08/2020,76.709
31/08/2020,75.0001
01/09/2020,75.5428
02/09/2020,75.9837
03/09/2020,75.9362
04/09/2020,74.6632
07/09/2020,74.8
08/09/2020,74.5514
09/09/2020,74.2919
10/09/2020,75.4196
11/09/2020,75.5174
14/09/2020,75.3594
15/09/2020,75.8979
16/09/2020,76.4418
17/09/2020,75.8592
18/09/2020,75.7854
21/09/2020,74.1095
22/09/2020,73.4714
23/09/2020,73.3272
24/09/2020,71.1751
25/09/2020,72.7847
28/09/2020,73.9508
29/09/2020,73.9165
30/09/2020,74.0812
01/10/2020,75.196
05/10/2020,75.7634
06/10/2020,76.81
07/10/2020,77.3132
08/10/2020,77.9434
09/10/2020,78.4673
12/10/2020,78.5776
13/10/2020,78.6007
14/10/2020,78.8604
15/10/2020,76.9449
16/10/2020,77.4854
19/10/2020,78.2128
20/10/2020,78.3689
21/10/2020,78.6371
22/10/2020,78.3715
23/10/2020,78.6617
26/10/2020,77.59
27/10/2020,78.3907
